127.0.0.1, 2014-02-19 11:34:31, GET, /admin/static/_2.7.3/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000416
127.0.0.1, 2014-02-19 11:34:31, POST, /admin/default/check_version, HTTP/1.1, 200, 0.150079
127.0.0.1, 2014-02-19 11:34:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000339
127.0.0.1, 2014-02-19 11:34:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000301
127.0.0.1, 2014-02-19 11:34:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000393
127.0.0.1, 2014-02-19 11:34:32, GET, /CostEstimate/default/index, HTTP/1.1, 200, 0.090137
127.0.0.1, 2014-02-19 11:34:32, GET, /CostEstimate/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000598
127.0.0.1, 2014-02-19 11:34:32, GET, /CostEstimate/static/js/calendar.js, HTTP/1.1, 304, 0.000498
127.0.0.1, 2014-02-19 11:34:32, GET, /CostEstimate/static/js/web2py.js, HTTP/1.1, 304, 0.000482
127.0.0.1, 2014-02-19 11:34:32, GET, /CostEstimate/static/css/web2py.css, HTTP/1.1, 304, 0.000600
127.0.0.1, 2014-02-19 11:34:32, GET, /CostEstimate/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000928
127.0.0.1, 2014-02-19 11:34:32, GET, /CostEstimate/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000876
127.0.0.1, 2014-02-19 11:34:32, GET, /CostEstimate/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.004065
127.0.0.1, 2014-02-19 11:34:32, GET, /CostEstimate/static/css/calendar.css, HTTP/1.1, 304, 0.000595
127.0.0.1, 2014-02-19 11:34:32, GET, /CostEstimate/static/js/jquery.js, HTTP/1.1, 304, 0.001079
127.0.0.1, 2014-02-19 11:34:32, GET, /CostEstimate/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.006182
127.0.0.1, 2014-02-19 11:34:32, GET, /CostEstimate/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000831
127.0.0.1, 2014-02-19 11:34:32, GET, /CostEstimate/static/js/share.js, HTTP/1.1, 304, 0.000437
127.0.0.1, 2014-02-19 11:34:33, GET, /CostEstimate/static/images/facebook.png, HTTP/1.1, 304, 0.000457
127.0.0.1, 2014-02-19 11:34:33, GET, /CostEstimate/static/images/twitter.png, HTTP/1.1, 304, 0.001429
127.0.0.1, 2014-02-19 11:34:33, GET, /CostEstimate/static/images/gplus-32.png, HTTP/1.1, 304, 0.001148
